src,Unnamed: 0,path,query,alt
https://as1.ftcdn.net/v2/jpg/01/10/24/08/1000_F_110240885_Xbsbun1F2lzeuyi0ArtvuDMirJ2TrAbE.jpg,[112],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/five fingers/fivefingers9.jpeg,['five fingers'],['One hand. Hand showing five fingers. A welcome gesture. Stopping gesture.  stop character. Opened palm of the hand. Painted hand. Contour arm.  Illustration of five fingers. Stock Illustration | Adobe Stock']
https://as2.ftcdn.net/v2/jpg/05/10/74/73/1000_F_510747386_bfyQTowfiPdeNy254lhVUjMAooyiEo14.jpg,"[12, 99]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist1.jpeg,"['fist', 'photo of fist']","['fist front side of man hand isolated on white background. punching  something. Stock Photo | Adobe Stock', 'fist front side of man hand isolated on white background. punching  something. Stock Photo | Adobe Stock']"
https://bardotbrush.com/wp-content/uploads/2019/07/Hand-Palm-Reference-Photo.png,[91],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands9.png,['hands'],['Day 16 // How to Draw Hands • Bardot Brush']
https://c02.purpledshub.com/uploads/sites/41/2018/07/GettyImages-77937874-9ed4b0b.jpg?w=1029&webp=1,"[64, 124]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands4.webp,"['hands', 'photo of hands']","['Why do we have lines on the palms of our hands? - BBC Science Focus Magazine', 'Why do we have lines on the palms of our hands? - BBC Science Focus Magazine']"
https://cdn-icons-png.flaticon.com/512/10017/10017692.png,[55],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake6.png,['handshake'],['Handshake - Free business icons']
https://cdn4.vectorstock.com/i/1000x1000/17/73/five-fingers-of-a-hand-vector-6571773.jpg,"[106, 107]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/five fingers/fivefingers6.jpeg,"['five fingers', 'photo of five fingers']","['Five fingers of a hand Royalty Free Vector Image', 'Five fingers of a hand Royalty Free Vector Image']"
https://cdn5.vectorstock.com/i/1000x1000/20/99/hand-with-two-fingers-up-vector-21162099.jpg,"[20, 169]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/two fingers/twofingers2.jpeg,"['two fingers', 'photo of two fingers']","['Hand with two fingers up Royalty Free Vector Image', 'Hand with two fingers up Royalty Free Vector Image']"
https://cdn5.vectorstock.com/i/1000x1000/60/24/hand-with-two-fingers-up-vector-20796024.jpg,[179],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of two fingers/photooftwofingers3.jpeg,['photo of two fingers'],['Hand with two fingers up Royalty Free Vector Image']
https://i.pinimg.com/736x/3d/7f/59/3d7f59790bc36955ca62267e78df69a4.jpg,[10],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout2.jpeg,['palms out'],"['Hands. Two hands with palms up #Sponsored , #Paid, #Ad, #hands, #palms,  #Hands | Stock photography free, Stock photos, Stock images free']"
https://i.pinimg.com/736x/99/48/11/99481165b3db03fc18e134803ad281bb.jpg,[21],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist4.jpeg,['fist'],"['A clenched fist. Against a white background for easy extraction , #AFF,  #white, #fist, #clenched, #extr… | Hand reference, Hand drawing reference,  How to draw hands']"
https://i.pinimg.com/originals/a6/a3/a2/a6a3a2c4e98392dca3f5c025d76e1f20.png,[1],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/four fingers/fourfingers1.png,['four fingers'],"['Four Finger Hand PNG Image - PurePNG | Free transparent CC0 PNG Image  Library | Finger hands, Finger image, Finger']"
https://images.pexels.com/photos/2838506/pexels-photo-2838506.jpeg?cs=srgb&dl=pexels-lil-artsy-2838506.jpg&fm=jpg,[125],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of hands/photoofhands7.jpeg,['photo of hands'],"['Hands Photos, Download The BEST Free Hands Stock Photos & HD Images']"
https://images.pexels.com/photos/9486675/pexels-photo-9486675.jpeg?cs=srgb&dl=pexels-rocketmann-team-9486675.jpg&fm=jpg,[203],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of thumbs up/photoofthumbsup8.jpeg,['photo of thumbs up'],"['Thumbs Up Photos, Download The BEST Free Thumbs Up Stock Photos & HD Images']"
https://images.pexels.com/photos/9486688/pexels-photo-9486688.jpeg?cs=srgb&dl=pexels-rocketmann-team-9486688.jpg&fm=jpg,[206],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of thumbs down/photoofthumbsdown9.jpeg,['photo of thumbs down'],"['Thumbs Down Photos, Download The BEST Free Thumbs Down Stock Photos & HD  Images']"
https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2stczMyLXRlbi0wNzAtam9iMjEtbC1qb2I3ODgucG5n.png,[130],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of handshake/photoofhandshake2.jpeg,['photo of handshake'],"['Handshake Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel']"
https://images.squarespace-cdn.com/content/v1/5dc5d641498834108f7c46a5/22951f79-a0fa-4691-867c-630143f9e468/5-Finger-Hero.jpg,[94],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/five fingers/fivefingers3.jpeg,['five fingers'],['Five Finger Full Value Contract — Friendzy']
https://img.freepik.com/premium-vector/hand-shake-handshake-business-man-businessmen-shaking-hands-as-success-partnership-deal-concept-illustration-isolated-white-background-clipart_212005-185.jpg?w=2000,[134],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of handshake/photoofhandshake6.jpeg,['photo of handshake'],['Premium Vector | Hand shake handshake of business man or businessmen  shaking hands as success partnership deal concept illustration isolated on  white background clipart']
https://media.licdn.com/dms/image/C4D12AQFvR6webwTsKw/article-cover_image-shrink_720_1280/0/1533823206296?e=2147483647&v=beta&t=wZN4Py-PYNTGQa6WCk1HVhivWC8SWcoIYFN1LdI1b9A,"[52, 133]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake2.jpeg,"['handshake', 'photo of handshake']","['Importance of a Good Handshake', 'Importance of a Good Handshake']"
https://media.post.rvohealth.io/wp-content/uploads/2020/08/soft_black_hands-732x549-thumbnail.jpg,[62],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands3.jpeg,['hands'],['How to Get Soft Hands: Effective Tips & Strategies']
https://miro.medium.com/v2/resize:fit:1400/1*_o5yPMOaA_oPc_I-q2cWmA.jpeg,"[2, 150]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout0.jpeg,"['palms out', 'photo of palms out']","['How to use Hands and Palms to Communicate Better | by Kunal Yadav | Medium', 'How to use Hands and Palms to Communicate Better | by Kunal Yadav | Medium']"
https://miro.medium.com/v2/resize:fit:4800/1*gFnAfGnnHw6DW4j_h6cNCA.jpeg,[16],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout3.jpeg,['palms out'],['How to use Hands and Palms to Communicate Better | by Kunal Yadav | Medium']
https://news.utexas.edu/wp-content/uploads/2019/06/Mixed-Race-Hands.jpg,"[54, 136]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake5.jpeg,"['handshake', 'photo of handshake']","['The Loss of the Handshake is an Opportunity for Connection - UT News', 'The Loss of the Handshake is an Opportunity for Connection - UT News']"
https://plus.unsplash.com/premium_photo-1666107278223-44299e033030?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8aGFuZHN8ZW58MHx8MHx8fDA%3D,[118],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of hands/photoofhands1.jpeg,['photo of hands'],['20+ Hands Pictures | Download Free Images on Unsplash']
https://plus.unsplash.com/premium_photo-1666264200708-f28fd190f308?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OXx8aGFuZHN8ZW58MHx8MHx8fDA%3D,[115],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of hands/photoofhands0.jpeg,['photo of hands'],['20+ Hands Pictures | Download Free Images on Unsplash']
https://plus.unsplash.com/premium_photo-1671028545792-f3a4c084f807?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8dGh1bWIlMjB1cHxlbnwwfHwwfHx8MA%3D%3D,[196],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of thumbs up/photoofthumbsup6.jpeg,['photo of thumbs up'],['Thumb Up Pictures | Download Free Images on Unsplash']
https://static1.squarespace.com/static/57604caed210b88aaca855c6/5966682f5a655b211221795b/59666aa45a655b211221def0/1499884196301/P1010322.jpg?format=original,[6],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/palms out/palmsout1.jpeg,['palms out'],['The Blessing of Open Hands — GirlFriendCircles | Shasta Nelson']
https://thumbs.dreamstime.com/b/fist-icon-vector-illustration-55195634.jpg,"[15, 97]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/fist/fist2.jpeg,"['fist', 'photo of fist']","['Fist Icon Stock Illustrations – 46,201 Fist Icon Stock Illustrations,  Vectors & Clipart - Dreamstime', 'Fist Icon Stock Illustrations – 46,201 Fist Icon Stock Illustrations,  Vectors & Clipart - Dreamstime']"
https://thumbs.dreamstime.com/b/hand-two-fingers-up-peace-victory-symbol-hand-two-fingers-up-peace-victory-symbol-also-sign-191119765.jpg,[182],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of two fingers/photooftwofingers5.jpeg,['photo of two fingers'],"['Hand with Two Fingers Up in the Peace or Victory Symbol Stock Photo - Image  of pair, peace: 30341614']"
https://thumbs.dreamstime.com/b/one-finger-20482985.jpg,"[61, 146]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/one finger/onefinger0.jpeg,"['one finger', 'photo of one finger']","['318,928 One Finger Stock Photos - Free & Royalty-Free Stock Photos from  Dreamstime', '318,928 One Finger Stock Photos - Free & Royalty-Free Stock Photos from  Dreamstime']"
https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Beijing_bouddhist_monk_2009_IMG_1486.JPG/1200px-Beijing_bouddhist_monk_2009_IMG_1486.JPG,"[34, 195]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup0.jpeg,"['thumbs up', 'photo of thumbs up']","['Thumb signal - Wikipedia', 'Thumb signal - Wikipedia']"
https://www.byrdie.com/thmb/aitjY8Vben7qDqucDkPpFVGmgtY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Stocksy_txpb2b5c3f8V4f300_Medium_5025475-730a608bc5c246449a043a335dfb8299.jpg,[58],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/hands/hands0.jpeg,['hands'],"['5 Ways to Make Your Perpetually Dry Hands Softer, Straight From  Dermatologists']"
https://www.insidehighered.com/sites/default/files/styles/max_650x650/public/media/barber%20handshake.jpg?itok=9FJCpvcE,"[51, 129]",/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/handshake/handshake1.jpeg,"['handshake', 'photo of handshake']","['Making your handshake work for you in your career (opinion)', 'Making your handshake work for you in your career (opinion)']"
https://www.plays-in-business.com/wp-content/uploads/2015/07/five-finger-voting.jpg,[105],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/photo of five fingers/photooffivefingers1.jpeg,['photo of five fingers'],['Five-Finger-Voting... vote with your five fingers.']
https://www.popsci.com/uploads/2023/07/10/thumbs-up-man-suit.jpeg?auto=webp&width=1440&height=810,[49],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/thumbs up/thumbsup9.jpeg,['thumbs up'],['Canada court: thumbs up emoji is legally binding | Popular Science']
https://www.vibram.com/on/demandware.static/-/Sites-vibram-storefront-us/default/dwedd2ace1/CATEGORYBACKGROUNDS/2023/Mobile/1350x1688_Men'sFiveFingers-min.png,[86],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos2/five fingers/fivefingers1.png,['five fingers'],['FiveFingers: The Original Barefoot Toe Shoes for Men | Vibram']
